ID,Title,Year,IMDb,Rotten Tomatoes,Genres,Language,Runtime
639,Malang,2020,6.5,68/100,"Action,Crime,Drama,Romance,Thriller",Hindi,135
640,Someone Great,2019,6.2,68/100,"Comedy,Romance",English,92
641,Time Trap,2017,6.3,68/100,"Action,Adventure,Mystery,Sci-Fi",English,87
642,In This Corner of the World,2016,7.8,68/100,"Animation,Drama,Family,History,War",Japanese,129
643,C/o Kancharapalem,2018,9,68/100,Drama,Telugu,152
644,Agneepath,1990,7.7,68/100,"Action,Crime,Drama","Hindi,Marathi,English",174
645,The Package,2018,5.5,67/100,"Comedy,Thriller",English,94
646,Tau,2018,5.8,67/100,"Sci-Fi,Thriller",English,97
647,Your Highness,2011,5.5,67/100,"Adventure,Comedy,Fantasy,Romance",English,102
648,Alexander,2004,5.6,67/100,"Action,Biography,Drama,History,War",English,175
649,Rurouni Kenshin: The Final,2021,7.2,67/100,"Action,Adventure,Drama",Japanese,138
650,Bill Burr: I'm Sorry You Feel That Way,2014,8.3,67/100,Comedy,English,80
651,Berserk: The Golden Age Arc I - The Egg of the King,2012,7.6,67/100,"Animation,Action,Adventure,Fantasy","Japanese,English,German",76
652,All the Bright Places,2020,6.5,67/100,"Drama,Romance",English,107
653,Streets of Fire,1984,6.7,67/100,"Action,Crime,Drama,Music,Romance,Thriller",English,93
654,Sleepless,2017,5.6,67/100,"Action,Crime,Thriller",English,95
655,An Egyptian Story,1982,7.3,67/100,Drama,Arabic,115
656,Major Grom: Plague Doctor,2021,6.3,67/100,"Action,Adventure",Russian,136
657,Struggle: The Life and Lost Art of Szukalski,2018,8,67/100,Documentary,English,115
658,Seaspiracy,2021,8.2,67/100,"Documentary,Adventure",English,89
659,Wish I Was Here,2014,6.7,67/100,"Comedy,Drama",English,106
660,Moxie,2021,6.7,67/100,"Comedy,Drama,Music",English,111
661,18 Presents,2020,6.7,67/100,Drama,Italian,115
662,Oxygen,2021,6.5,67/100,"Drama,Fantasy,Sci-Fi,Thriller",French,100
663,Private Life,2018,7.2,67/100,"Comedy,Drama",English,123
664,The Grandmaster,2013,6.6,67/100,"Action,Biography,Drama,Romance,War","Mandarin,Cantonese,Japanese",130
665,Home Again,2017,5.8,67/100,"Comedy,Drama,Romance",English,97
666,Athlete A,2020,7.6,67/100,"Documentary,Crime,Sport",English,103
667,The Outsider,2018,6.3,67/100,"Crime,Drama,Fantasy,Mystery,Thriller",English,60
668,The Fourth Kind,2009,5.9,67/100,"Horror,Mystery,Sci-Fi,Thriller","English,Aboriginal",98
669,Bastille Day,2016,6.3,67/100,"Action,Crime,Drama,Thriller","English,French",92
670,The Whole Truth,2016,6.2,67/100,"Crime,Drama,Mystery,Thriller",English,93
671,Ibiza,2018,5.2,67/100,"Comedy,Romance",English,94
672,Sabotage,2014,5.7,67/100,"Action,Crime,Drama,Thriller","English,Spanish",109
673,Penguin Bloom,2021,6.8,67/100,Drama,English,95
674,The Kissing Booth 2,2020,5.8,67/100,"Comedy,Romance",English,134
675,Kingsglaive: Final Fantasy XV,2016,6.8,67/100,"Animation,Action,Adventure,Drama,Family,Fantasy,Sci-Fi","Japanese,English,Chinese",110
676,Mirai,2018,7,67/100,"Animation,Adventure,Drama,Family,Fantasy","Japanese,English",98
677,Child's Play 2,1990,5.9,67/100,"Horror,Thriller",English,84
678,World Trade Center,2006,5.9,67/100,"Drama,History,Thriller",English,129
679,OMG: Oh My God!,2012,8.1,67/100,"Comedy,Drama,Fantasy","Hindi,English",125
680,A Private War,2018,6.7,67/100,"Biography,Drama,War",English,110
681,Get on Up,2014,6.9,67/100,"Biography,Drama,Music",English,139
682,The Possession,2012,5.9,67/100,"Horror,Mystery,Thriller","English,Polish,Yiddish",92
683,The Angry Birds Movie 2,2019,6.4,67/100,"Animation,Adventure,Comedy,Family",English,97
684,Stowaway,2021,5.6,67/100,"Drama,Sci-Fi,Thriller",English,116
685,Bill Burr: You People Are All The Same,2012,8.3,67/100,Comedy,English,69
686,Four Christmases,2008,5.7,67/100,"Comedy,Drama,Romance",English,88
687,Bombay Talkies,2013,6.7,67/100,Drama,"Hindi,English",127
688,Vampire Academy,2014,5,67/100,"Action,Comedy,Drama,Fantasy,Horror,Mystery,Thriller",English,104
689,Brick Mansions,2014,5.5,67/100,"Action,Crime,Thriller","English,Chinese",90
690,Kingdom: Ashin of the North,2021,7.1,67/100,"Action,Drama,History,Horror,Thriller",Korean,92
691,Andaz Apna Apna,1994,8.1,67/100,"Action,Comedy,Romance",Hindi,160
692,Emicida: AmarElo - It's All for Yesterday,2020,8.5,67/100,"Documentary,Music",Portuguese,89
693,Blue Miracle,2021,6.7,67/100,"Adventure,Biography,Drama,Family",English,95
694,Holding the Man,2015,7.4,67/100,"Biography,Drama,Romance",English,127
695,Small Town Crime,2018,6.6,67/100,"Crime,Mystery,Thriller",English,91
696,Ek Ladki Ko Dekha Toh Aisa Laga,2019,5.5,67/100,"Comedy,Drama,Romance",Hindi,120
697,First They Killed My Father,2017,7.2,67/100,"Biography,Drama,History,War","Khmer,English,French",136
698,Rising Phoenix,2020,8.1,67/100,"Documentary,Sport",English,105
699,The Wolf's Call,2019,6.9,67/100,"Action,Adventure,Sci-Fi,Thriller",French,115
700,Paan Singh Tomar,2012,8.2,67/100,"Action,Biography,Crime,Sport,Thriller",Hindi,135
701,John Mulaney & The Sack Lunch Bunch,2019,7.5,67/100,"Comedy,Family,Musical",English,70
702,Seventh Son,2015,5.5,67/100,"Action,Adventure,Fantasy",English,102
703,The Death of Mr. Lazarescu,2005,7.9,67/100,"Comedy,Drama",Romanian,153
704,The Occupant,2020,6.4,67/100,"Adventure,Drama,Thriller",Spanish,103
705,The Body Remembers When the World Broke Open,2019,6.9,67/100,Drama,English,105
706,The Woman in the Window,2021,5.7,67/100,"Crime,Drama,Mystery,Thriller",English,100
707,Berlin Syndrome,2017,6.3,67/100,"Drama,Horror,Mystery,Thriller","English,German,Russian",116
708,What the Health,2017,7.4,67/100,Documentary,English,97
709,The Runaways,2010,6.5,67/100,"Biography,Drama,Music",English,106
710,Kodachrome,2017,6.8,67/100,Drama,English,105
711,Croupier,1998,7.1,67/100,"Crime,Drama",English,94
712,The Smurfs,2011,5.4,67/100,"Animation,Adventure,Comedy,Family,Fantasy",English,103
713,Muppets Most Wanted,2014,6.4,67/100,"Adventure,Comedy,Crime,Family,Musical,Mystery","English,German",107
714,Creep 2,2017,6.5,67/100,"Crime,Drama,Horror,Thriller",English,78
715,Mandela: Long Walk to Freedom,2013,7.1,66/100,"Biography,Drama,History","English,Afrikaans,Xhosa",141
716,Toilet: A Love Story,2017,7.2,66/100,"Comedy,Drama",Hindi,155
717,The Square,2013,8.1,66/100,"Comedy,Drama","Swedish,English,Danish",151
718,Jerry Seinfeld: I'm Telling You for the Last Time,1998,7.9,66/100,Comedy,English,75
719,"Roxanne, Roxanne",2017,6.2,66/100,"Comedy,Romance",English,107
720,Riphagen The Untouchable,2016,7.1,66/100,"Short,Music",English,4
721,Dear Zindagi,2016,7.5,66/100,"Drama,Romance",Hindi,151
722,Vizontele,2001,8,66/100,"Comedy,Drama",Turkish,110
723,Good on Paper,2021,5.6,66/100,"Comedy,Romance",English,92
724,Ophelia,2019,6.6,66/100,"Drama,Romance,Thriller","English,Norwegian,Latin",114
725,Black Sea,2014,6.4,66/100,"Adventure,Drama,Thriller","English,Russian",114
726,Girl,2018,7.1,66/100,Thriller,English,92
727,Irreplaceable You,2018,6.4,66/100,"Comedy,Drama,Romance",English,96
728,The Do-Over,2016,5.7,66/100,"Action,Adventure,Comedy,Mystery",English,108
729,Metallica: Some Kind of Monster,2004,7.5,66/100,"Documentary,Music",English,141
730,Handsome Devil,2017,5.5,66/100,"Comedy,Drama,Sport","English,Latin",95
731,Unfriended,2015,5.5,66/100,"Horror,Mystery,Thriller",English,83
732,Visaranai,2016,8.5,66/100,"Crime,Drama,Thriller",Tamil,117
733,Been So Long,2018,5.5,66/100,"Drama,Musical,Romance",,100
734,Yes Day,2021,5.7,66/100,"Comedy,Family","English,Spanish",86
735,Blood Red Sky,2021,6.1,66/100,"Action,Horror,Thriller","German,English,Arabic",121
736,The Bleeding Edge,2018,7.6,66/100,Documentary,English,99
737,Tread,2020,7.1,66/100,Documentary,English,89
738,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.8,66/100,"Animation,Action,Adventure,Fantasy","Japanese,English",95
739,Kevin Hart: Irresponsible,2019,6.5,66/100,Comedy,English,60
740,In the Tall Grass,2019,5.4,66/100,"Horror,Mystery,Sci-Fi,Thriller",English,101
741,Wadjda,2012,7.5,66/100,"Comedy,Drama",Arabic,98
742,Ferry,2021,7,66/100,"Action,Crime,Drama,Thriller","Flemish,Dutch",106
743,The Heartbreak Kid,2007,5.8,66/100,"Comedy,Romance","English,Spanish",116
744,Fools Rush In,1997,6.1,66/100,"Comedy,Drama,Romance","English,Spanish",109
745,Wild Child,2008,6.1,66/100,"Comedy,Drama,Romance",English,98
746,The Lovebirds,2020,6.1,66/100,"Action,Comedy,Crime,Mystery,Romance,Thriller",English,86
747,Machete Kills,2013,5.6,66/100,"Action,Crime,Thriller","English,Spanish",107
748,Sergio,2020,6.1,66/100,"Biography,Drama,History,Romance","English,Portuguese,Spanish,French",118
749,The Last Letter From Your Lover,2021,6.8,66/100,"Drama,Romance",English,110
750,Kursk,2018,6.6,66/100,"Action,Adventure,Drama,History,Thriller","English,Russian",117
751,Then Came You,2019,7,66/100,"Adventure,Comedy,Drama",,97
752,Gantz:O,2016,7.1,66/100,"Animation,Action,Drama,Fantasy,Horror,Sci-Fi,Thriller",Japanese,95
753,Jenny Slate: Stage Fright,2019,5.9,66/100,"Comedy,Reality-TV",English,66
754,Taylor Swift: Reputation Stadium Tour,2018,8.4,66/100,"Documentary,Music",,125
755,Jodhaa Akbar,2008,7.6,66/100,"Action,Drama,History,Romance,War","Hindi,Urdu",213
756,Red Joan,2018,6.4,66/100,"Biography,Drama,History,Romance",English,101
757,Amateur,2018,5.9,66/100,"Drama,Sport",English,96
758,What a Girl Wants,2003,5.8,66/100,"Comedy,Drama,Family,Romance",English,105
759,Quigley Down Under,1990,6.9,66/100,"Action,Adventure,Drama,Romance,Western","English,Aboriginal",119
760,Cop Out,2010,5.6,66/100,"Action,Comedy,Crime","English,Spanish",107
761,Mindhorn,2016,6.3,66/100,"Comedy,Thriller",English,89
762,Katt Williams: Great America,2018,6.1,66/100,Comedy,English,60
763,Lingua Franca,2020,6.4,66/100,Drama,"English,Tagalog,Russian",89
764,Abduction,2011,5.1,66/100,"Action,Mystery,Thriller",English,106
765,Copenhagen,2014,7.1,66/100,"Adventure,Drama,Romance","English,Danish",98
766,High Flying Bird,2019,6.2,66/100,"Drama,Sport",English,90
767,Free to Play,2014,7.8,66/100,"Documentary,Action","English,Chinese,Russian,Czech,Bulgarian,Japanese,German,Spanish",75
768,Life of Crime,2013,5.8,66/100,"Comedy,Crime",English,98
769,A Very Murray Christmas,2015,5.5,66/100,"Comedy,Music,Musical",English,56
770,The Silence,2019,5.3,65/100,"Drama,Horror,Sci-Fi,Thriller","English,American Sign Language",90
771,Sarah's Key,2010,7.5,65/100,"Drama,War","French,English,Italian,German,Yiddish",111
772,Abducted in Plain Sight,2018,6.8,65/100,"Documentary,Crime",English,91
773,Winchester,2018,5.5,65/100,"Biography,Drama,Horror,Mystery,Thriller",English,99
774,Our Souls at Night,2017,6.9,65/100,"Drama,Romance",English,103
775,The Karate Kid Part III,1989,5.3,65/100,"Action,Drama,Family,Sport",English,112
776,Haseen Dillruba,2021,6.9,65/100,"Crime,Drama,Mystery,Romance,Thriller",Hindi,135
777,SampleThis,2013,6.4,65/100,"Documentary,Music",English,85
