ID,Title,Year,IMDb,Rotten Tomatoes,Genres,Language,Runtime
111,The Invisible Guest,2016,8.1,83/100,"Crime,Drama,Mystery,Thriller",Spanish,106
112,Chinatown,1974,8.2,82/100,"Drama,Mystery,Thriller","English,Cantonese,Spanish",130
113,Mystic River,2003,7.9,82/100,"Crime,Drama,Mystery,Thriller",English,138
114,The Theory of Everything,2014,7.7,82/100,"Biography,Drama,Romance","English,French",123
115,Springsteen On Broadway,2018,8.5,82/100,"Documentary,Music",English,153
116,The Life Ahead,2020,6.8,82/100,Drama,"Italian,Spanish,Hebrew,Romanian",94
117,The Terminal,2004,7.4,82/100,"Comedy,Drama,Romance","English,Bulgarian,Spanish,Russian,Mandarin,German,French",128
118,Scott Pilgrim vs. the World,2010,7.5,82/100,"Action,Comedy,Fantasy,Romance",English,112
119,Being Elmo: A Puppeteer's Journey,2011,7.6,82/100,Documentary,English,80
120,Life of Brian,1979,8.1,82/100,Comedy,"English,Latin",94
121,The Resistance Banker,2018,6.9,82/100,"Biography,Drama,War",Dutch,123
122,How to Train Your Dragon 2,2014,7.8,82/100,"Animation,Action,Adventure,Family,Fantasy",English,102
123,The Endless Trench,2019,7.2,82/100,"Action,Drama,History,Thriller,War",Spanish,147
124,Even the Rain,2010,7.4,82/100,"Drama,History","Spanish,Quechua,English",103
125,Love Actually,2003,7.6,82/100,"Comedy,Drama,Romance","English,Portuguese,French",135
126,Dear Ex,2018,7.4,82/100,"Comedy,Drama,Romance",Mandarin,100
127,Braven,2018,5.9,82/100,"Action,Thriller",English,94
128,Period. End of Sentence.,2018,7.4,82/100,"Documentary,Short","Hindi,English",26
129,Captain Fantastic,2016,7.9,82/100,"Comedy,Drama","English,Esperanto,German,Chinese",118
130,Veronica,2017,6.2,81/100,Comedy,English,94
131,The Siege of Jadotville,2016,7.2,81/100,"Action,Drama,History,Thriller,War","English,Irish,French,Spanish",108
132,Into the Inferno,2016,7.2,81/100,Documentary,English,104
133,Ricky Gervais: Humanity,2018,8,81/100,Comedy,English,79
134,A Whisker Away,2020,6.7,81/100,"Animation,Adventure,Family,Fantasy,Romance",Japanese,104
135,Lady Bird,2017,7.4,81/100,"Comedy,Drama","English,Spanish",94
136,Road to Perdition,2002,7.7,81/100,"Crime,Drama,Thriller",English,117
137,Boogie Nights,1997,7.9,81/100,Drama,English,155
138,Total Recall,1990,7.5,81/100,"Action,Sci-Fi,Thriller",English,113
139,Bo Burnham: Inside,2021,8.8,81/100,"Comedy,Drama,Music",English,87
140,Snowpiercer,2013,7.1,81/100,"Action,Drama,Sci-Fi,Thriller",English,60
141,Circus of Books,2019,7.1,81/100,"Documentary,Biography,History",English,92
142,Tallulah,2016,6.7,81/100,"Comedy,Drama,Romance",English,111
143,The Conjuring 2,2016,7.3,81/100,"Horror,Mystery,Thriller",English,134
144,They'll Love Me When I'm Dead,2018,7.4,81/100,Documentary,English,98
145,Nocturnal Animals,2016,7.5,81/100,"Drama,Thriller",English,116
146,Get Me Roger Stone,2017,7.3,81/100,"Documentary,Biography",English,92
147,Hachi: A Dog's Tale,2009,8.1,81/100,"Biography,Drama,Family","English,Japanese",93
148,Dances with Wolves,1990,8,80/100,"Adventure,Drama,Western","English,Sioux,Pawnee",181
149,Udta Punjab,2016,7.8,80/100,"Action,Crime,Drama","Bhojpuri,Punjabi,Hindi",148
150,Bareilly's Barfi,2017,7.5,80/100,"Comedy,Romance",Hindi,116
151,Divines,2016,7.4,80/100,"Crime,Drama",French,105
152,Maktub,2017,7.3,80/100,"Comedy,Drama",Hebrew,100
153,Ittefaq,2017,7.2,80/100,"Crime,Mystery,Thriller",Hindi,105
